timestamp,load1,load5,load15,mem_used_gb,mem_avail_gb,mem_pct,available,allocated,spawning,latency_ms,http_code
1769202305,1.71,1.15,5.56,130.2,258.6,34.5,310,2,1,148,200
1769202310,2.86,1.4,5.61,129.9,258.8,34.4,307,3,3,193,200
1769202316,4.79,1.82,5.73,129.7,259.0,34.3,302,4,8,244,200
1769202321,10.61,3.18,6.13,130.0,258.6,34.4,302,2,9,4036,200
1769202331,13.36,3.87,6.34,130.1,258.5,34.4,303,4,7,281,200
1769202337,0,0,0,0,0,0,0,0,0,5915,200
1769202348,0,0,0,0,0,0,0,0,0,5210,200
1769202358,25.7,7.76,7.55,130.6,258.1,34.6,305,4,6,2337,200
1769202366,24.04,7.71,7.54,130.3,258.3,34.5,310,3,1,2936,200
1769202374,30.1,9.48,8.11,130.5,258.1,34.5,302,11,4,202,200
1769202380,0,0,0,0,0,0,0,0,0,5209,200
1769202390,33.87,11.31,8.73,130.3,258.2,34.5,298,6,6,869,200
1769202396,33.64,11.64,8.85,129.9,258.5,34.4,298,5,11,2620,200
1769202404,31.32,11.87,8.96,129.8,258.7,34.3,300,8,7,223,200
1769202410,33.78,12.7,9.24,129.3,259.0,34.2,293,5,11,2213,200
1769202418,0,0,0,0,0,0,0,0,0,5218,200
1769202428,0,0,0,0,0,0,0,0,0,5218,200
1769202439,39.14,16.18,10.52,129.5,258.7,34.3,296,7,8,3959,200
1769202448,35.46,16.14,10.57,129.5,258.7,34.3,302,6,2,3109,200
1769202457,33.9,16.14,10.6,129.2,259.0,34.2,300,7,4,188,200
1769202462,32.55,16.15,10.63,129.0,259.1,34.1,300,6,4,204,200
1769202468,32.34,16.38,10.74,129.2,259.0,34.2,299,6,5,201,200
1769202473,0,0,0,0,0,0,0,0,0,5200,200
1769202484,32.53,17.45,11.21,129.5,258.7,34.3,300,7,4,2517,200
1769202492,32.48,17.69,11.32,129.4,258.8,34.2,302,6,2,1920,200
1769202499,30.44,17.51,11.29,129.2,258.9,34.2,302,7,1,162,200
1769202505,0,0,0,0,0,0,0,0,0,5208,200
1769202515,0,0,0,0,0,0,0,0,0,5193,200
1769202526,0,0,0,0,0,0,0,0,0,5223,200
1769202536,32.36,19.53,12.23,129.0,259.1,34.1,301,7,3,238,200
1769202542,29.93,19.24,12.17,129.1,258.9,34.2,302,8,1,196,200
1769202547,0,0,0,0,0,0,0,0,0,5202,200
1769202558,42.4,22.8,13.5,129.0,259.0,34.1,294,9,9,1934,200
1769202565,43.09,23.27,13.7,128.5,259.4,34.0,295,7,8,314,200
1769202571,41.72,23.31,13.77,128.6,259.3,34.0,296,7,7,199,200
1769202576,42.38,23.75,13.96,129.0,259.0,34.1,297,7,6,3723,200
1769202585,37.7,23.37,13.94,129.0,258.9,34.2,300,10,2,200,200
1769202591,37.09,23.48,14.03,128.3,259.5,34.0,291,11,10,219,200
1769202596,0,0,0,0,0,0,0,0,0,5210,200
1769202607,0,0,0,0,0,0,0,0,0,5222,200
1769202618,0,0,0,0,0,0,0,0,0,5215,200
1769202628,0,0,0,0,0,0,0,0,0,5220,200
1769202639,49.0,29.02,16.38,128.6,259.2,34.0,298,9,5,154,200
1769202644,43.05,28.41,16.32,128.7,259.1,34.1,300,7,3,2889,200
1769202652,40.28,28.3,16.41,128.7,259.1,34.1,300,5,3,4296,200
1769202662,38.01,28.03,16.39,129.0,258.9,34.1,299,12,2,200,200
1769202668,37.77,28.14,16.49,128.5,259.3,34.0,290,17,9,189,200
1769202673,37.71,28.29,16.6,127.9,259.8,33.9,285,14,13,320,200
1769202679,0,0,0,0,0,0,0,0,0,5220,200
1769202690,0,0,0,0,0,0,0,0,0,5312,200
1769202700,0,0,0,0,0,0,0,0,0,5199,200
1769202711,0,0,0,0,0,0,0,0,0,5271,200
1769202722,41.07,31.17,18.22,128.1,259.5,33.9,295,10,0,239,200
1769202727,39.39,30.98,18.23,127.8,259.7,33.8,292,7,9,2559,200
1769202735,43.04,32.06,18.72,127.9,259.7,33.8,290,9,10,385,200
1769202741,43.6,32.36,18.88,127.7,259.8,33.8,286,12,14,210,200
1769202747,44.51,32.74,19.08,127.5,260.0,33.7,275,14,14,212,200
1769202752,0,0,0,0,0,0,0,0,0,5210,200
1769202763,0,0,0,0,0,0,0,0,0,5179,200
1769202773,0,0,0,0,0,0,0,0,0,5206,200
1769202784,53.86,37.06,21.14,127.0,260.4,33.6,274,12,11,1815,200
1769202791,0,0,0,0,0,0,0,0,0,5210,200
1769202802,0,0,0,0,0,0,0,0,0,5161,200
1769202812,0,0,0,0,0,0,0,0,0,5199,200
1769202823,0,0,0,0,0,0,0,0,0,5239,200
1769202833,0,0,0,0,0,0,0,0,0,5211,200
1769202844,56.61,40.75,23.32,127.7,259.6,33.8,295,8,8,221,200
1769202849,51.53,40.19,23.32,128.1,259.3,33.9,294,9,8,202,200
1769202855,52.45,40.57,23.54,128.2,259.2,33.9,293,7,9,2695,200
1769202863,0,0,0,0,0,0,0,0,0,5213,200
1769202873,52.43,41.34,24.15,129.0,258.5,34.1,293,8,10,4713,200
1769202883,49.27,40.87,24.09,128.6,258.9,34.0,302,7,4,207,200
