timestamp,load1,load5,load15,mem_used_gb,mem_avail_gb,mem_pct,available,allocated,spawning,latency_ms,http_code
1769198736,0.52,0.63,0.67,133.0,257.9,35.2,307,5,2,164,200
1769198741,2.4,1.02,0.8,132.8,258.1,35.1,306,2,4,134,200
1769198747,2.93,1.15,0.84,132.8,258.1,35.1,306,2,4,2637,200
1769198755,6.25,1.95,1.1,133.2,257.7,35.2,310,2,0,185,200
1769198760,6.39,2.05,1.14,133.1,257.7,35.2,308,3,2,361,200
1769198766,6.6,2.16,1.18,133.1,257.7,35.2,305,4,4,485,200
1769198772,7.99,2.53,1.31,133.4,257.5,35.3,297,11,9,421,200
1769198778,0,0,0,0,0,0,0,0,0,5209,200
1769198788,0,0,0,0,0,0,0,0,0,5154,200
1769198799,17.4,5.44,2.32,132.6,258.1,35.1,298,5,6,2974,200
1769198807,15.86,5.51,2.38,132.2,258.5,35.0,301,4,2,3255,200
1769198815,16.11,5.73,2.47,132.1,258.5,35.0,291,12,8,195,200
1769198821,21.23,6.97,2.89,131.8,258.7,34.9,287,6,12,2182,200
1769198828,0,0,0,0,0,0,0,0,0,5151,200
1769198839,0,0,0,0,0,0,0,0,0,5207,200
1769198849,0,0,0,0,0,0,0,0,0,5186,200
1769198860,0,0,0,0,0,0,0,0,0,5170,200
1769198870,30.74,12.83,5.17,131.6,258.6,34.8,299,6,1,4386,200
1769198880,29.32,12.83,5.21,131.7,258.5,34.9,298,3,4,3594,200
1769198889,28.52,13.2,5.42,131.8,258.4,34.9,298,2,5,2894,200
1769198897,26.64,13.07,5.41,131.6,258.6,34.8,299,5,3,201,200
1769198903,26.83,13.33,5.54,131.7,258.5,34.9,291,10,11,432,200
1769198908,32.06,14.89,6.13,131.4,258.7,34.8,287,8,14,4570,200
1769198918,0,0,0,0,0,0,0,0,0,5170,200
1769198929,0,0,0,0,0,0,0,0,0,5167,200
1769198939,0,0,0,0,0,0,0,0,0,5140,200
1769198950,0,0,0,0,0,0,0,0,0,5157,200
1769198960,62.44,25.53,10.19,131.0,259.1,34.7,281,3,14,2485,200
1769198968,0,0,0,0,0,0,0,0,0,5185,200
1769198978,0,0,0,0,0,0,0,0,0,5146,200
1769198989,40.27,23.75,10.09,130.6,259.4,34.6,295,7,8,3335,200
1769198997,42.11,24.65,10.53,130.7,259.3,34.6,294,4,8,4445,200
1769199007,46.0,26.03,11.13,131.2,258.7,34.7,293,4,9,4922,200
1769199017,62.17,30.13,12.62,131.2,258.7,34.7,293,4,9,4369,200
1769199027,59.68,30.15,12.72,131.2,258.7,34.7,288,7,14,187,200
1769199032,60.02,30.71,13.0,131.4,258.6,34.8,283,11,14,188,200
1769199038,60.18,31.23,13.26,131.0,258.9,34.7,282,13,14,144,200
1769199043,59.29,31.53,13.45,131.0,258.9,34.7,282,11,14,2481,200
1769199051,57.17,31.99,13.8,131.6,258.4,34.8,286,13,10,2995,200
1769199060,54.2,32.16,14.05,129.9,259.9,34.4,283,8,13,5093,200
1769199070,0,0,0,0,0,0,0,0,0,5220,200
1769199081,0,0,0,0,0,0,0,0,0,5189,200
1769199091,0,0,0,0,0,0,0,0,0,5235,200
1769199102,0,0,0,0,0,0,0,0,0,5264,200
1769199112,0,0,0,0,0,0,0,0,0,5206,200
1769199123,48.89,35.47,16.37,130.6,259.1,34.6,295,7,4,1923,200
1769199130,43.98,34.86,16.38,130.6,259.1,34.6,295,8,3,1745,200
1769199137,42.22,34.65,16.41,130.7,259.0,34.6,288,8,11,1195,200
1769199143,0,0,0,0,0,0,0,0,0,5159,200
1769199154,0,0,0,0,0,0,0,0,0,5243,200
1769199164,50.5,37.3,17.87,131.1,258.5,34.7,288,5,11,3712,200
1769199174,49.02,37.22,17.94,130.7,258.9,34.6,298,5,7,2177,200
1769199181,44.36,36.6,17.95,131.4,258.3,34.8,296,7,8,2751,200
1769199189,44.97,36.98,18.27,131.6,258.1,34.8,294,7,10,2183,200
1769199197,0,0,0,0,0,0,0,0,0,5214,200
1769199207,0,0,0,0,0,0,0,0,0,5205,200
1769199218,0,0,0,0,0,0,0,0,0,5178,200
1769199228,40.56,36.91,18.95,131.8,257.9,34.9,302,9,3,245,200
1769199234,35.18,35.88,18.81,131.8,257.9,34.9,299,12,4,1059,200
1769199240,0,0,0,0,0,0,0,0,0,5294,200
1769199251,0,0,0,0,0,0,0,0,0,5212,200
1769199261,36.99,36.35,19.51,131.5,258.2,34.8,297,9,6,3432,200
1769199270,35.63,36.07,19.51,131.1,258.6,34.7,297,9,6,770,200
1769199276,0,0,0,0,0,0,0,0,0,5150,200
1769199287,34.89,35.9,19.72,131.6,258.1,34.8,294,9,8,4068,200
1769199296,34.71,35.84,19.88,131.4,258.2,34.8,292,11,11,385,200
1769199302,35.21,35.92,19.99,130.8,258.7,34.6,290,11,13,341,200
1769199308,0,0,0,0,0,0,0,0,0,5228,200
1769199319,0,0,0,0,0,0,0,0,0,5193,200
1769199329,0,0,0,0,0,0,0,0,0,5203,200
1769199340,37.82,36.59,20.89,131.3,258.1,34.8,295,12,5,2210,200
1769199347,36.39,36.31,20.89,131.1,258.4,34.7,290,15,9,201,200
1769199353,0,0,0,0,0,0,0,0,0,5201,200
1769199363,40.93,37.34,21.47,130.8,258.5,34.6,286,10,13,450,200
1769199369,0,0,0,0,0,0,0,0,0,5214,200
1769199380,0,0,0,0,0,0,0,0,0,5228,200
1769199390,0,0,0,0,0,0,0,0,0,5192,200
1769199401,43.48,38.54,22.55,130.0,259.2,34.4,291,10,10,3195,200
1769199409,41.74,38.32,22.65,130.2,259.0,34.5,292,7,9,3352,200
1769199418,0,0,0,0,0,0,0,0,0,5213,200
1769199429,0,0,0,0,0,0,0,0,0,5223,200
1769199439,0,0,0,0,0,0,0,0,0,5214,200
1769199450,42.53,39.22,23.63,131.2,258.1,34.7,297,12,5,258,200
1769199455,42.25,39.21,23.71,131.2,258.1,34.7,297,11,5,1885,200
1769199463,41.67,39.14,23.77,131.2,258.1,34.7,297,9,5,3311,200
1769199471,0,0,0,0,0,0,0,0,0,5216,200
1769199482,38.73,38.71,23.96,131.7,257.7,34.9,301,12,3,2136,200
1769199489,34.73,37.86,23.84,131.6,257.8,34.8,302,11,3,202,200
1769199495,32.18,37.28,23.73,131.5,257.8,34.8,303,11,2,211,200
1769199500,29.69,36.68,23.61,131.6,257.8,34.8,304,11,1,207,200
1769199506,27.31,36.07,23.48,131.6,257.8,34.8,304,9,1,2211,200
1769199514,25.52,35.55,23.38,131.6,257.8,34.8,304,9,1,2305,200
1769199521,22.81,34.65,23.22,131.6,257.8,34.8,304,10,1,1737,200
