timestamp,pool_id,load1,load5,load15,available,total,status
1769198736,ai-foxhop-net,1.9,1.24,1.05,70,70,healthy
1769198736,cammy-foxhop-net,0.57,0.64,0.68,310,310,healthy
1769198741,ai-foxhop-net,3.44,1.58,1.16,64,67,healthy
1769198741,cammy-foxhop-net,2.4,1.02,0.8,306,310,healthy
1769198747,ai-foxhop-net,null,null,null,0,0,unhealthy
1769198747,cammy-foxhop-net,2.93,1.15,0.84,306,310,healthy
1769198755,ai-foxhop-net,3.94,1.76,1.22,67,67,healthy
1769198755,cammy-foxhop-net,6.7,1.96,1.11,306,310,healthy
1769198760,ai-foxhop-net,3.71,1.74,1.22,65,67,healthy
1769198760,cammy-foxhop-net,6.25,1.95,1.1,310,310,healthy
1769198766,ai-foxhop-net,5.01,2.05,1.32,60,67,healthy
1769198766,cammy-foxhop-net,6.39,2.05,1.14,308,310,healthy
1769198772,ai-foxhop-net,8.37,2.87,1.6,63,66,healthy
1769198772,cammy-foxhop-net,7.99,2.53,1.31,303,311,healthy
1769198778,ai-foxhop-net,null,null,null,0,0,unhealthy
1769198778,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198788,ai-foxhop-net,6.95,2.83,1.6,65,65,healthy
1769198788,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198799,ai-foxhop-net,7.53,3.15,1.73,63,65,healthy
1769198799,cammy-foxhop-net,17.4,5.44,2.32,300,305,healthy
1769198807,ai-foxhop-net,7.09,3.13,1.73,63,66,healthy
1769198807,cammy-foxhop-net,16.89,5.54,2.37,302,305,healthy
1769198815,ai-foxhop-net,7.32,3.24,1.77,58,66,healthy
1769198815,cammy-foxhop-net,15.86,5.51,2.38,295,308,healthy
1769198821,ai-foxhop-net,9.78,3.82,1.97,59,63,healthy
1769198821,cammy-foxhop-net,16.11,5.73,2.47,291,309,healthy
1769198828,ai-foxhop-net,null,null,null,0,0,unhealthy
1769198828,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198839,ai-foxhop-net,8.26,3.98,2.07,62,64,healthy
1769198839,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198849,ai-foxhop-net,7.45,3.95,2.08,63,65,healthy
1769198849,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198860,ai-foxhop-net,6.46,3.85,2.07,63,65,healthy
1769198860,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198870,ai-foxhop-net,6.21,3.91,2.12,60,65,healthy
1769198870,cammy-foxhop-net,30.74,12.83,5.17,299,302,healthy
1769198880,ai-foxhop-net,6.21,3.91,2.12,53,63,healthy
1769198880,cammy-foxhop-net,30.74,12.83,5.17,299,302,healthy
1769198889,ai-foxhop-net,null,null,null,0,0,unhealthy
1769198889,cammy-foxhop-net,28.52,13.2,5.42,299,305,healthy
1769198897,ai-foxhop-net,9.68,4.92,2.49,56,61,healthy
1769198897,cammy-foxhop-net,26.64,13.07,5.41,299,305,healthy
1769198903,ai-foxhop-net,9.06,4.87,2.49,56,61,healthy
1769198903,cammy-foxhop-net,26.83,13.33,5.54,292,309,healthy
1769198908,ai-foxhop-net,9.97,5.22,2.63,56,62,healthy
1769198908,cammy-foxhop-net,32.06,14.89,6.13,287,303,healthy
1769198918,ai-foxhop-net,null,null,null,0,0,unhealthy
1769198918,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198929,ai-foxhop-net,null,null,null,0,0,unhealthy
1769198929,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198939,ai-foxhop-net,null,null,null,0,0,unhealthy
1769198939,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198950,ai-foxhop-net,12.15,6.52,3.19,57,62,healthy
1769198950,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198960,ai-foxhop-net,11.18,6.42,3.17,58,62,healthy
1769198960,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198968,ai-foxhop-net,9.53,6.22,3.14,58,62,healthy
1769198968,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198978,ai-foxhop-net,10.07,6.44,3.25,58,62,healthy
1769198978,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769198989,ai-foxhop-net,11.5,6.96,3.47,60,67,healthy
1769198989,cammy-foxhop-net,40.27,23.75,10.09,295,306,healthy
1769198997,ai-foxhop-net,10.98,6.92,3.48,60,67,healthy
1769198997,cammy-foxhop-net,37.77,23.51,10.09,294,306,healthy
1769199007,ai-foxhop-net,9.52,6.75,3.46,61,69,healthy
1769199007,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199017,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199017,cammy-foxhop-net,53.05,27.82,11.79,293,306,healthy
1769199027,ai-foxhop-net,7.35,6.44,3.42,56,69,healthy
1769199027,cammy-foxhop-net,59.68,30.15,12.72,289,307,healthy
1769199032,ai-foxhop-net,8.37,6.66,3.51,50,67,healthy
1769199032,cammy-foxhop-net,60.02,30.71,13.0,284,306,healthy
1769199038,ai-foxhop-net,9.54,6.93,3.62,54,66,healthy
1769199038,cammy-foxhop-net,60.18,31.23,13.26,283,307,healthy
1769199043,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199043,cammy-foxhop-net,59.29,31.53,13.45,282,307,healthy
1769199051,ai-foxhop-net,11.41,7.57,3.9,61,70,healthy
1769199051,cammy-foxhop-net,53.96,31.74,13.82,288,312,healthy
1769199060,ai-foxhop-net,10.57,7.46,3.89,60,69,healthy
1769199060,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199070,ai-foxhop-net,8.95,7.22,3.85,59,68,healthy
1769199070,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199081,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199081,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199091,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199091,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199102,ai-foxhop-net,7.41,7.06,3.9,59,70,healthy
1769199102,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199112,ai-foxhop-net,6.81,6.94,3.9,60,70,healthy
1769199112,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199123,ai-foxhop-net,7.33,7.06,3.97,56,68,healthy
1769199123,cammy-foxhop-net,48.89,35.47,16.37,295,304,healthy
1769199130,ai-foxhop-net,6.89,6.97,3.97,53,66,healthy
1769199130,cammy-foxhop-net,43.98,34.86,16.38,289,310,healthy
1769199137,ai-foxhop-net,7.78,7.15,4.05,53,65,healthy
1769199137,cammy-foxhop-net,42.22,34.65,16.41,289,307,healthy
1769199143,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199143,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199154,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199154,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199164,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199164,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199174,ai-foxhop-net,6.21,6.87,4.07,54,66,healthy
1769199174,cammy-foxhop-net,49.02,37.22,17.94,293,305,healthy
1769199181,ai-foxhop-net,8.51,7.34,4.24,55,74,healthy
1769199181,cammy-foxhop-net,46.13,36.81,17.92,297,310,healthy
1769199189,ai-foxhop-net,8.02,7.28,4.25,63,74,healthy
1769199189,cammy-foxhop-net,44.01,36.66,18.07,295,310,healthy
1769199197,ai-foxhop-net,6.78,7.04,4.21,62,74,healthy
1769199197,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199207,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199207,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199218,ai-foxhop-net,5.66,6.76,4.18,60,71,healthy
1769199218,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199228,ai-foxhop-net,5.24,6.64,4.16,61,72,healthy
1769199228,cammy-foxhop-net,40.56,36.91,18.95,302,311,healthy
1769199234,ai-foxhop-net,5.38,6.64,4.18,60,72,healthy
1769199234,cammy-foxhop-net,37.55,36.35,18.86,303,311,healthy
1769199240,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199240,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199251,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199251,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199261,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199261,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199270,ai-foxhop-net,5.74,6.66,4.28,56,66,healthy
1769199270,cammy-foxhop-net,36.99,36.35,19.51,299,309,healthy
1769199276,ai-foxhop-net,5.16,6.51,4.26,55,66,healthy
1769199276,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199287,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199287,cammy-foxhop-net,34.89,35.9,19.72,294,311,healthy
1769199296,ai-foxhop-net,8.94,7.27,4.55,53,64,healthy
1769199296,cammy-foxhop-net,34.71,35.84,19.88,292,312,healthy
1769199302,ai-foxhop-net,9.9,7.5,4.64,50,64,healthy
1769199302,cammy-foxhop-net,35.21,35.92,19.99,291,311,healthy
1769199308,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199308,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199319,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199319,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199329,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199329,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199340,ai-foxhop-net,7.1,7.14,4.63,52,64,healthy
1769199340,cammy-foxhop-net,38.06,36.62,20.82,295,309,healthy
1769199347,ai-foxhop-net,11.12,7.99,4.94,44,63,healthy
1769199347,cammy-foxhop-net,36.39,36.31,20.89,291,312,healthy
1769199353,ai-foxhop-net,15.67,8.99,5.27,43,66,healthy
1769199353,cammy-foxhop-net,38.28,36.71,21.1,288,309,healthy
1769199363,ai-foxhop-net,22.21,10.64,5.85,49,64,healthy
1769199363,cammy-foxhop-net,40.93,37.34,21.47,286,308,healthy
1769199369,ai-foxhop-net,23.25,11.22,6.09,52,71,healthy
1769199369,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199380,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199380,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769199390,ai-foxhop-net,null,null,null,0,0,unhealthy
1769199390,cammy-foxhop-net,null,null,null,0,0,unhealthy
