timestamp,pool_id,load1,load5,load15,available,total,status
1769288230,ai-foxhop-net,0.34,0.39,0.37,63,63,healthy
1769288230,cammy-foxhop-net,0.24,0.46,0.72,288,288,healthy
1769288236,ai-foxhop-net,1.51,0.63,0.45,59,63,healthy
1769288236,cammy-foxhop-net,1.9,0.8,0.82,282,289,healthy
1769288241,ai-foxhop-net,2.43,0.84,0.52,60,63,healthy
1769288241,cammy-foxhop-net,3.75,1.2,0.95,282,288,healthy
1769288246,ai-foxhop-net,2.24,0.82,0.51,63,63,healthy
1769288246,cammy-foxhop-net,4.33,1.37,1.01,282,288,healthy
1769288252,ai-foxhop-net,3.9,1.19,0.63,58,63,healthy
1769288252,cammy-foxhop-net,8.07,2.19,1.28,278,291,healthy
1769288257,ai-foxhop-net,5.03,1.47,0.73,61,63,healthy
1769288257,cammy-foxhop-net,9.1,2.5,1.38,278,290,healthy
1769288263,ai-foxhop-net,5.51,1.63,0.78,59,63,healthy
1769288263,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288269,ai-foxhop-net,7.06,2.07,0.94,56,63,healthy
1769288269,cammy-foxhop-net,18.77,4.93,2.2,268,291,healthy
1769288275,ai-foxhop-net,7.06,2.07,0.94,56,63,healthy
1769288275,cammy-foxhop-net,18.77,4.93,2.2,268,291,healthy
1769288280,ai-foxhop-net,9.54,2.67,1.14,57,63,healthy
1769288280,cammy-foxhop-net,20.79,5.58,2.42,266,289,healthy
1769288286,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288286,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288292,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288292,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288298,ai-foxhop-net,7.25,2.59,1.14,63,63,healthy
1769288298,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288304,ai-foxhop-net,6.66,2.55,1.14,62,63,healthy
1769288304,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288310,ai-foxhop-net,6.13,2.51,1.13,61,63,healthy
1769288310,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288315,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288315,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288321,ai-foxhop-net,6.12,2.69,1.21,61,64,healthy
1769288321,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288326,ai-foxhop-net,6.12,2.69,1.21,61,64,healthy
1769288326,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288332,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288332,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288337,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288337,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288343,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288343,cammy-foxhop-net,17.34,8.23,3.6,278,289,healthy
1769288348,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288348,cammy-foxhop-net,19.95,8.93,3.85,277,289,healthy
1769288354,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288354,cammy-foxhop-net,19.8,9.08,3.92,276,290,healthy
1769288359,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288359,cammy-foxhop-net,22.38,9.79,4.18,275,290,healthy
1769288366,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288366,cammy-foxhop-net,23.95,10.32,4.38,274,291,healthy
1769288371,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288371,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288377,ai-foxhop-net,4.6,3.03,1.43,62,64,healthy
1769288377,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288382,ai-foxhop-net,4.87,3.11,1.46,60,66,healthy
1769288382,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288388,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288388,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288393,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288393,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288399,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288399,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769288404,ai-foxhop-net,4.27,3.09,1.49,59,69,healthy
1769288404,cammy-foxhop-net,23.3,12.21,5.29,286,291,healthy
1769288410,ai-foxhop-net,5.93,3.45,1.62,37,62,healthy
1769288410,cammy-foxhop-net,23.58,12.64,5.5,284,291,healthy
1769288416,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288416,cammy-foxhop-net,23.3,12.76,5.58,285,291,healthy
1769288421,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288421,cammy-foxhop-net,23.59,13.0,5.7,284,291,healthy
1769288427,ai-foxhop-net,null,null,null,0,0,unhealthy
1769288427,cammy-foxhop-net,23.59,13.0,5.7,284,291,healthy
1769288432,ai-foxhop-net,null,null,null,0,0,unhealthy
