timestamp,pool_id,load1,load5,load15,available,total,status
1769280468,ai-foxhop-net,2.96,1.18,1.14,64,64,healthy
1769280468,cammy-foxhop-net,9.39,2.6,2.86,287,292,healthy
1769280473,ai-foxhop-net,3.04,1.23,1.15,62,64,healthy
1769280473,cammy-foxhop-net,9.39,2.6,2.86,281,298,healthy
1769280479,ai-foxhop-net,4.01,1.49,1.24,60,65,healthy
1769280479,cammy-foxhop-net,11.97,3.37,3.11,281,292,healthy
1769280485,ai-foxhop-net,4.01,1.49,1.24,60,65,healthy
1769280485,cammy-foxhop-net,14.53,4.04,3.33,278,293,healthy
1769280491,ai-foxhop-net,5.69,1.88,1.37,56,66,healthy
1769280491,cammy-foxhop-net,14.53,4.04,3.33,278,293,healthy
1769280496,ai-foxhop-net,8.04,2.52,1.58,61,64,healthy
1769280496,cammy-foxhop-net,22.42,6.3,4.08,274,289,healthy
1769280502,ai-foxhop-net,8.04,2.52,1.58,61,64,healthy
1769280502,cammy-foxhop-net,22.42,6.3,4.08,273,289,healthy
1769280508,ai-foxhop-net,null,null,null,0,0,unhealthy
1769280508,cammy-foxhop-net,22.42,6.3,4.08,273,289,healthy
1769280514,ai-foxhop-net,null,null,null,0,0,unhealthy
1769280514,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769280519,ai-foxhop-net,null,null,null,0,0,unhealthy
1769280519,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769280525,ai-foxhop-net,5.25,2.37,1.56,63,65,healthy
1769280525,cammy-foxhop-net,27.8,8.92,5.01,284,293,healthy
1769280530,ai-foxhop-net,4.91,2.35,1.56,64,65,healthy
1769280530,cammy-foxhop-net,27.26,9.12,5.1,284,293,healthy
1769280536,ai-foxhop-net,4.52,2.31,1.55,64,65,healthy
1769280536,cammy-foxhop-net,27.16,9.4,5.21,283,293,healthy
1769280541,ai-foxhop-net,4.4,2.32,1.56,62,64,healthy
1769280541,cammy-foxhop-net,28.35,9.95,5.41,283,293,healthy
1769280547,ai-foxhop-net,4.28,2.33,1.57,63,65,healthy
1769280547,cammy-foxhop-net,28.24,10.23,5.52,283,293,healthy
1769280552,ai-foxhop-net,3.94,2.3,1.56,63,64,healthy
1769280552,cammy-foxhop-net,29.18,10.72,5.71,282,293,healthy
1769280558,ai-foxhop-net,4.03,2.34,1.58,62,64,healthy
1769280558,cammy-foxhop-net,29.01,10.99,5.82,288,294,healthy
1769280563,ai-foxhop-net,4.18,2.4,1.6,61,64,healthy
1769280563,cammy-foxhop-net,27.96,11.08,5.88,288,293,healthy
1769280569,ai-foxhop-net,5.69,2.74,1.71,59,64,healthy
1769280569,cammy-foxhop-net,26.45,11.04,5.89,287,293,healthy
1769280574,ai-foxhop-net,5.96,2.85,1.75,60,64,healthy
1769280574,cammy-foxhop-net,26.25,11.26,5.99,289,293,healthy
1769280580,ai-foxhop-net,7.18,3.23,1.89,63,64,healthy
1769280580,cammy-foxhop-net,24.69,11.42,6.1,288,294,healthy
1769280585,ai-foxhop-net,7.48,3.36,1.94,60,64,healthy
1769280585,cammy-foxhop-net,23.44,11.38,6.12,289,293,healthy
1769280591,ai-foxhop-net,7.2,3.37,1.95,62,64,healthy
1769280591,cammy-foxhop-net,22.28,11.34,6.13,287,293,healthy
1769280596,ai-foxhop-net,6.79,3.35,1.95,62,64,healthy
1769280596,cammy-foxhop-net,22.82,11.63,6.25,286,293,healthy
1769280602,ai-foxhop-net,7.12,3.47,2.0,61,64,healthy
1769280602,cammy-foxhop-net,24.67,12.2,6.47,285,293,healthy
1769280607,ai-foxhop-net,6.55,3.41,1.99,62,64,healthy
1769280607,cammy-foxhop-net,24.7,12.41,6.57,285,294,healthy
1769280613,ai-foxhop-net,6.83,3.52,2.03,62,64,healthy
1769280613,cammy-foxhop-net,26.01,12.89,6.75,287,293,healthy
1769280619,ai-foxhop-net,6.36,3.48,2.03,63,64,healthy
1769280619,cammy-foxhop-net,25.93,13.09,6.85,287,293,healthy
1769280624,ai-foxhop-net,5.85,3.42,2.02,63,64,healthy
1769280624,cammy-foxhop-net,27.76,13.91,7.18,289,293,healthy
1769280630,ai-foxhop-net,5.38,3.37,2.0,63,64,healthy
1769280630,cammy-foxhop-net,27.76,13.91,7.18,289,293,healthy
1769280635,ai-foxhop-net,4.63,3.27,1.99,63,64,healthy
1769280635,cammy-foxhop-net,24.11,13.58,7.15,289,293,healthy
1769280641,ai-foxhop-net,5.14,3.4,2.04,62,64,healthy
1769280641,cammy-foxhop-net,23.3,13.59,7.19,288,293,healthy
1769280646,ai-foxhop-net,4.73,3.34,2.03,63,64,healthy
1769280646,cammy-foxhop-net,22.71,13.63,7.23,288,293,healthy
1769280652,ai-foxhop-net,4.35,3.29,2.01,63,64,healthy
1769280652,cammy-foxhop-net,22.58,13.75,7.31,288,293,healthy
1769280657,ai-foxhop-net,4.0,3.23,2.0,63,64,healthy
1769280657,cammy-foxhop-net,22.29,13.84,7.37,288,293,healthy
1769280663,ai-foxhop-net,3.68,3.18,1.99,63,64,healthy
1769280663,cammy-foxhop-net,22.51,14.02,7.47,291,293,healthy
1769280668,ai-foxhop-net,3.38,3.13,1.98,63,64,healthy
1769280668,cammy-foxhop-net,20.78,13.81,7.43,290,293,healthy
1769280674,ai-foxhop-net,3.19,3.09,1.98,63,64,healthy
1769280674,cammy-foxhop-net,19.36,13.63,7.41,290,293,healthy
1769280679,ai-foxhop-net,2.7,2.99,1.95,63,64,healthy
1769280679,cammy-foxhop-net,19.04,13.74,7.51,287,293,healthy
1769280685,ai-foxhop-net,3.13,3.07,1.99,62,64,healthy
1769280685,cammy-foxhop-net,20.23,14.08,7.65,286,293,healthy
1769280690,ai-foxhop-net,3.13,3.07,1.99,62,64,healthy
1769280690,cammy-foxhop-net,20.23,14.08,7.65,286,293,healthy
1769280696,ai-foxhop-net,3.11,3.07,2.0,62,64,healthy
1769280696,cammy-foxhop-net,24.31,15.16,8.08,288,294,healthy
1769280701,ai-foxhop-net,3.1,3.07,2.0,63,64,healthy
1769280701,cammy-foxhop-net,22.6,14.96,8.05,289,294,healthy
1769280707,ai-foxhop-net,2.85,3.02,1.99,63,64,healthy
1769280707,cammy-foxhop-net,22.31,15.03,8.11,291,294,healthy
1769280712,ai-foxhop-net,2.62,2.97,1.98,63,64,healthy
1769280712,cammy-foxhop-net,20.6,14.79,8.07,291,294,healthy
1769280718,ai-foxhop-net,3.37,3.12,2.04,61,64,healthy
1769280718,cammy-foxhop-net,18.95,14.55,8.03,290,293,healthy
1769280723,ai-foxhop-net,3.74,3.2,2.07,62,64,healthy
1769280723,cammy-foxhop-net,18.32,14.49,8.04,289,293,healthy
1769280729,ai-foxhop-net,3.44,3.14,2.06,63,64,healthy
1769280729,cammy-foxhop-net,18.13,14.51,8.08,289,293,healthy
1769280734,ai-foxhop-net,2.91,3.04,2.04,63,64,healthy
1769280734,cammy-foxhop-net,17.41,14.49,8.15,291,294,healthy
1769280740,ai-foxhop-net,2.84,3.02,2.03,63,64,healthy
1769280740,cammy-foxhop-net,16.18,14.29,8.11,291,294,healthy
1769280745,ai-foxhop-net,2.61,2.97,2.02,63,64,healthy
1769280745,cammy-foxhop-net,14.96,14.06,8.08,291,294,healthy
1769280751,ai-foxhop-net,2.4,2.92,2.01,63,64,healthy
1769280751,cammy-foxhop-net,13.84,13.85,8.04,291,294,healthy
1769280756,ai-foxhop-net,2.37,2.91,2.01,62,64,healthy
1769280756,cammy-foxhop-net,12.9,13.65,8.0,290,293,healthy
1769280762,ai-foxhop-net,2.66,2.96,2.03,60,64,healthy
1769280762,cammy-foxhop-net,12.26,13.51,7.99,290,293,healthy
1769280767,ai-foxhop-net,2.45,2.91,2.02,63,64,healthy
1769280767,cammy-foxhop-net,11.92,13.41,7.99,290,293,healthy
1769280773,ai-foxhop-net,2.25,2.86,2.01,63,64,healthy
1769280773,cammy-foxhop-net,12.17,13.44,8.03,290,293,healthy
1769280778,ai-foxhop-net,5.51,3.53,2.23,62,64,healthy
1769280778,cammy-foxhop-net,12.31,13.45,8.06,291,293,healthy
1769280784,ai-foxhop-net,5.87,3.64,2.27,60,64,healthy
1769280784,cammy-foxhop-net,11.97,13.36,8.06,290,293,healthy
1769280789,ai-foxhop-net,6.36,3.77,2.33,61,64,healthy
1769280789,cammy-foxhop-net,11.73,13.29,8.06,290,293,healthy
1769280795,ai-foxhop-net,5.85,3.71,2.31,63,64,healthy
1769280795,cammy-foxhop-net,11.83,13.28,8.09,291,293,healthy
1769280800,ai-foxhop-net,6.39,3.89,2.38,62,64,healthy
1769280800,cammy-foxhop-net,10.85,13.02,8.06,292,293,healthy
1769280806,ai-foxhop-net,6.12,3.87,2.39,63,64,healthy
1769280806,cammy-foxhop-net,9.98,12.81,8.02,290,293,healthy
1769280812,ai-foxhop-net,6.91,4.07,2.46,61,64,healthy
1769280812,cammy-foxhop-net,10.06,12.78,8.04,288,293,healthy
1769280817,ai-foxhop-net,6.44,4.02,2.45,63,64,healthy
1769280817,cammy-foxhop-net,11.1,12.95,8.12,286,293,healthy
1769280823,ai-foxhop-net,8.56,4.5,2.62,59,64,healthy
1769280823,cammy-foxhop-net,11.57,13.02,8.16,287,293,healthy
1769280828,ai-foxhop-net,8.92,4.65,2.67,59,65,healthy
1769280828,cammy-foxhop-net,12.89,13.26,8.27,287,293,healthy
1769280834,ai-foxhop-net,8.77,4.68,2.7,63,64,healthy
1769280834,cammy-foxhop-net,12.66,13.21,8.28,289,293,healthy
1769280839,ai-foxhop-net,8.06,4.61,2.68,63,64,healthy
1769280839,cammy-foxhop-net,14.77,13.64,8.45,288,293,healthy
1769280845,ai-foxhop-net,8.54,4.83,2.78,62,65,healthy
1769280845,cammy-foxhop-net,14.8,13.68,8.52,289,293,healthy
1769280850,ai-foxhop-net,8.57,4.9,2.81,63,64,healthy
