timestamp,pool_id,load1,load5,load15,available,total,status
1769200126,ai-foxhop-net,0.24,1.95,3.88,70,70,healthy
1769200126,cammy-foxhop-net,0.76,5.99,13.18,316,316,healthy
1769200131,ai-foxhop-net,0.7,2.02,3.89,67,70,healthy
1769200131,cammy-foxhop-net,1.02,5.96,13.13,313,316,healthy
1769200137,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200137,cammy-foxhop-net,3.46,6.32,13.17,310,315,healthy
1769200143,ai-foxhop-net,3.02,2.5,4.02,70,70,healthy
1769200143,cammy-foxhop-net,5.35,6.66,13.25,310,315,healthy
1769200148,ai-foxhop-net,2.94,2.49,4.01,69,70,healthy
1769200148,cammy-foxhop-net,6.44,6.87,13.28,312,316,healthy
1769200154,ai-foxhop-net,3.83,2.69,4.07,62,69,healthy
1769200154,cammy-foxhop-net,8.33,7.25,13.37,309,316,healthy
1769200160,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200160,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200171,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200171,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200181,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200181,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200192,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200192,cammy-foxhop-net,30.39,13.42,15.21,310,312,healthy
1769200201,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200201,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200212,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200212,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200222,ai-foxhop-net,7.99,4.66,4.68,60,63,healthy
1769200222,cammy-foxhop-net,31.13,15.42,15.8,306,312,healthy
1769200230,ai-foxhop-net,8.39,4.8,4.73,60,66,healthy
1769200230,cammy-foxhop-net,31.13,15.42,15.8,305,313,healthy
1769200236,ai-foxhop-net,10.92,5.38,4.92,58,66,healthy
1769200236,cammy-foxhop-net,30.88,15.63,15.87,304,312,healthy
1769200241,ai-foxhop-net,13.65,6.04,5.13,56,66,healthy
1769200241,cammy-foxhop-net,28.81,15.45,15.81,302,314,healthy
1769200249,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200249,cammy-foxhop-net,25.3,15.14,15.71,299,315,healthy
1769200259,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200259,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200270,ai-foxhop-net,9.8,6.01,5.16,63,65,healthy
1769200270,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200281,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200281,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200291,ai-foxhop-net,7.97,5.85,5.13,61,65,healthy
1769200291,cammy-foxhop-net,15.75,14.06,15.31,299,307,healthy
1769200300,ai-foxhop-net,7.97,5.85,5.13,60,66,healthy
1769200300,cammy-foxhop-net,15.75,14.06,15.31,299,307,healthy
1769200309,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200309,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200318,ai-foxhop-net,9.05,6.32,5.31,62,66,healthy
1769200318,cammy-foxhop-net,19.94,15.21,15.65,300,307,healthy
1769200326,ai-foxhop-net,8.33,6.22,5.28,63,67,healthy
1769200326,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200336,ai-foxhop-net,7.12,6.03,5.23,63,67,healthy
1769200336,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200347,ai-foxhop-net,6.18,5.86,5.18,63,67,healthy
1769200347,cammy-foxhop-net,17.17,14.96,15.56,304,308,healthy
1769200352,ai-foxhop-net,5.68,5.76,5.15,55,68,healthy
1769200352,cammy-foxhop-net,15.8,14.71,15.48,304,308,healthy
1769200358,ai-foxhop-net,6.75,5.98,5.23,50,65,healthy
1769200358,cammy-foxhop-net,15.09,14.58,15.43,302,308,healthy
1769200363,ai-foxhop-net,9.01,6.46,5.39,51,65,healthy
1769200363,cammy-foxhop-net,15.0,14.57,15.42,298,311,healthy
1769200369,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200369,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200379,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200379,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200386,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200386,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200397,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200397,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200408,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200408,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200418,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200418,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200424,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200424,cammy-foxhop-net,27.8,19.75,17.24,304,308,healthy
1769200433,ai-foxhop-net,6.53,6.37,5.44,63,68,healthy
1769200433,cammy-foxhop-net,27.8,19.75,17.24,304,308,healthy
1769200439,ai-foxhop-net,6.08,6.28,5.41,63,68,healthy
1769200439,cammy-foxhop-net,27.66,19.97,17.34,298,309,healthy
1769200444,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200444,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200453,ai-foxhop-net,4.81,5.98,5.33,62,68,healthy
1769200453,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200462,ai-foxhop-net,6.63,6.32,5.45,36,57,healthy
1769200462,cammy-foxhop-net,39.32,23.33,18.52,281,306,healthy
1769200468,ai-foxhop-net,9.54,6.93,5.65,35,55,healthy
1769200468,cammy-foxhop-net,41.38,24.03,18.77,281,306,healthy
1769200475,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200475,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200485,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200485,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200496,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200496,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200506,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200506,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200512,ai-foxhop-net,12.94,8.37,6.21,46,60,healthy
1769200512,cammy-foxhop-net,34.88,25.14,19.42,290,312,healthy
1769200517,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200517,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200528,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200528,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200539,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200539,cammy-foxhop-net,44.44,28.17,20.57,287,307,healthy
1769200546,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200546,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200557,ai-foxhop-net,11.56,8.88,6.5,51,58,healthy
1769200557,cammy-foxhop-net,42.91,28.98,21.01,300,310,healthy
1769200562,ai-foxhop-net,14.16,9.46,6.7,37,58,healthy
1769200562,cammy-foxhop-net,44.52,29.54,21.23,291,311,healthy
1769200568,ai-foxhop-net,17.27,10.18,6.95,33,54,healthy
1769200568,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200579,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200579,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200589,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200589,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200599,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200599,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200610,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200610,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200617,ai-foxhop-net,12.19,10.03,7.06,46,57,healthy
1769200617,cammy-foxhop-net,49.86,33.57,23.05,301,313,healthy
1769200622,ai-foxhop-net,19.98,11.76,7.65,33,56,healthy
1769200622,cammy-foxhop-net,49.33,33.98,23.3,292,312,healthy
1769200628,ai-foxhop-net,22.94,12.51,7.92,33,55,healthy
1769200628,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200638,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200638,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200649,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200649,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200657,ai-foxhop-net,19.54,12.67,8.12,43,56,healthy
1769200657,cammy-foxhop-net,51.1,36.21,24.44,301,310,healthy
1769200666,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200666,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200677,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200677,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200687,ai-foxhop-net,17.55,12.97,8.37,49,59,healthy
1769200687,cammy-foxhop-net,34.56,33.66,23.97,301,312,healthy
1769200696,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200696,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200707,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200707,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200717,ai-foxhop-net,14.5,12.73,8.44,53,58,healthy
1769200717,cammy-foxhop-net,31.17,32.99,24.06,304,311,healthy
1769200722,ai-foxhop-net,15.42,12.95,8.54,54,67,healthy
1769200722,cammy-foxhop-net,30.84,32.89,24.08,303,313,healthy
1769200728,ai-foxhop-net,16.43,13.2,8.64,55,67,healthy
1769200728,cammy-foxhop-net,28.93,32.46,23.99,302,312,healthy
1769200736,ai-foxhop-net,15.91,13.15,8.65,62,67,healthy
1769200736,cammy-foxhop-net,27.89,32.19,23.94,303,311,healthy
1769200744,ai-foxhop-net,14.47,12.96,8.66,61,66,healthy
1769200744,cammy-foxhop-net,25.32,31.41,23.82,304,311,healthy
1769200754,ai-foxhop-net,14.67,13.03,8.7,61,66,healthy
1769200754,cammy-foxhop-net,23.94,31.02,23.73,304,311,healthy
1769200762,ai-foxhop-net,null,null,null,0,0,unhealthy
1769200762,cammy-foxhop-net,24.37,30.9,23.77,303,313,healthy
1769200771,ai-foxhop-net,12.07,12.55,8.64,63,67,healthy
1769200771,cammy-foxhop-net,24.33,30.63,23.8,302,313,healthy
1769200780,ai-foxhop-net,11.5,12.43,8.62,61,66,healthy
1769200780,cammy-foxhop-net,24.33,30.63,23.8,304,313,healthy
1769200786,ai-foxhop-net,10.59,12.2,8.59,61,65,healthy
1769200786,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769200795,ai-foxhop-net,10.14,12.08,8.57,63,67,healthy
1769200795,cammy-foxhop-net,20.55,29.47,23.53,304,312,healthy
1769200802,ai-foxhop-net,9.11,11.8,8.51,63,67,healthy
1769200802,cammy-foxhop-net,18.94,28.84,23.39,304,311,healthy
