timestamp,load1,load5,load15,mem_used_gb,mem_avail_gb,mem_pct,available,allocated,spawning,latency_ms,http_code
1769178419,0.81,1.22,5.49,127.0,261.1,33.6,308,3,0,427,200
1769178425,2.11,1.48,5.56,126.8,261.3,33.6,305,2,4,177,200
1769178431,2.34,1.54,5.55,126.8,261.3,33.6,305,2,4,206,200
1769178436,3.83,1.86,5.64,126.8,261.3,33.6,305,2,4,168,200
1769178442,5.21,2.18,5.72,126.9,261.1,33.6,302,5,6,195,200
1769178447,7.59,2.73,5.88,126.6,261.4,33.5,299,4,9,424,200
1769178453,11.39,3.6,6.14,126.5,261.5,33.5,296,3,12,2465,200
1769178461,0,0,0,0,0,0,0,0,0,5177,200
1769178472,0,0,0,0,0,0,0,0,0,5209,200
1769178482,0,0,0,0,0,0,0,0,0,5186,200
1769178493,27.75,9.18,7.93,127.3,260.8,33.7,308,4,1,255,200
1769178498,27.15,9.64,8.1,126.9,261.2,33.6,305,2,4,4066,200
1769178508,26.73,9.85,8.17,126.8,261.2,33.6,304,4,4,269,200
1769178513,26.6,10.1,8.26,127.1,260.9,33.7,306,4,3,204,200
1769178519,26.71,10.39,8.37,127.4,260.7,33.7,303,7,5,210,200
1769178525,28.27,11.24,8.66,127.0,261.0,33.6,298,6,8,214,200
1769178530,31.37,12.17,8.98,125.8,262.0,33.3,292,6,14,206,200
1769178536,0,0,0,0,0,0,0,0,0,5194,200
1769178546,0,0,0,0,0,0,0,0,0,5220,200
1769178557,0,0,0,0,0,0,0,0,0,5197,200
1769178567,0,0,0,0,0,0,0,0,0,5215,200
1769178578,39.52,17.31,10.89,126.5,261.3,33.5,305,5,2,975,200
1769178584,37.0,17.16,10.87,126.5,261.3,33.5,305,4,2,182,200
1769178590,33.7,17.09,10.92,126.5,261.3,33.5,305,4,2,199,200
1769178595,31.08,16.83,10.86,126.4,261.4,33.5,307,4,0,145,200
1769178601,29.07,16.64,10.84,126.4,261.4,33.5,307,2,0,3224,200
1769178609,26.92,16.58,10.88,126.4,261.4,33.5,307,2,0,4792,200
1769178620,25.88,16.54,10.89,126.4,261.4,33.5,306,6,0,201,200
1769178625,22.73,16.17,10.83,126.4,261.4,33.5,306,5,0,1885,200
1769178632,22.11,16.15,10.86,126.8,261.0,33.6,302,8,4,510,200
1769178638,21.54,16.13,10.88,125.6,262.0,33.2,289,12,11,444,200
1769178644,22.22,16.36,10.98,124.8,262.7,33.0,282,10,14,199,200
1769178650,0,0,0,0,0,0,0,0,0,5208,200
1769178660,0,0,0,0,0,0,0,0,0,5195,200
1769178671,0,0,0,0,0,0,0,0,0,5139,200
1769178681,38.31,21.71,13.04,125.1,262.3,33.1,294,7,6,544,200
1769178688,36.51,21.87,13.18,125.1,262.3,33.1,294,6,6,2377,200
1769178695,35.51,21.91,13.24,125.2,262.2,33.1,291,6,9,2968,200
1769178704,36.19,22.27,13.41,125.6,261.8,33.2,285,12,14,206,200
1769178709,37.93,22.87,13.65,125.8,261.6,33.3,284,13,14,210,200
1769178715,38.89,23.57,13.97,125.9,261.5,33.3,285,11,13,3042,200
1769178723,37.76,23.83,14.16,125.8,261.7,33.3,289,6,10,2303,200
1769178731,41.46,24.83,14.54,125.5,262.0,33.2,293,6,7,199,200
1769178737,39.42,24.68,14.54,125.4,262.0,33.2,294,6,6,270,200
1769178742,38.75,24.78,14.63,125.4,262.0,33.2,294,6,6,3941,200
1769178751,37.84,25.04,14.83,125.7,261.7,33.3,292,8,8,188,200
