timestamp,load1,load5,load15,mem_used_gb,mem_avail_gb,mem_pct,available,allocated,spawning,latency_ms,http_code
1769176706,0.62,2.04,6.09,126.4,261.8,33.5,305,3,0,427,200
1769176711,2.09,2.32,6.16,126.5,261.7,33.5,303,2,3,139,200
1769176716,2.33,2.37,6.15,126.5,261.7,33.5,303,2,3,201,200
1769176722,3.5,2.61,6.21,126.6,261.6,33.5,305,2,1,388,200
1769176727,3.62,2.65,6.21,126.6,261.5,33.5,301,5,5,645,200
1769176733,0,0,0,0,0,0,0,0,0,5425,200
1769176744,0,0,0,0,0,0,0,0,0,5175,200
1769176754,0,0,0,0,0,0,0,0,0,5383,200
1769176764,30.06,9.96,8.54,126.8,261.4,33.6,300,5,6,1785,200
1769176771,28.3,9.92,8.53,126.5,261.7,33.5,302,5,3,1360,200
1769176778,29.47,10.47,8.72,126.4,261.7,33.4,292,10,13,213,200
1769176783,0,0,0,0,0,0,0,0,0,5239,200
1769176794,32.51,12.06,9.26,125.9,262.1,33.3,285,9,14,2226,200
1769176801,0,0,0,0,0,0,0,0,0,5149,200
1769176811,0,0,0,0,0,0,0,0,0,5160,200
1769176821,0,0,0,0,0,0,0,0,0,5212,200
1769176832,49.53,19.86,12.06,126.1,261.9,33.4,290,8,9,3031,200
1769176840,54.7,21.42,12.61,125.6,262.3,33.2,291,10,13,206,200
1769176845,55.84,22.21,12.91,125.7,262.1,33.3,289,7,14,3769,200
1769176854,0,0,0,0,0,0,0,0,0,5220,200
1769176864,0,0,0,0,0,0,0,0,0,5325,200
1769176875,0,0,0,0,0,0,0,0,0,5211,200
1769176885,0,0,0,0,0,0,0,0,0,5206,200
1769176896,52.44,26.99,15.05,126.5,261.4,33.5,300,9,3,209,200
1769176901,53.61,27.65,15.33,125.8,262.0,33.3,292,10,11,213,200
1769176906,0,0,0,0,0,0,0,0,0,5210,200
1769176917,0,0,0,0,0,0,0,0,0,5206,200
1769176927,0,0,0,0,0,0,0,0,0,5286,200
1769176937,50.13,30.13,16.69,126.7,261.1,33.5,299,7,6,4039,200
1769176947,0,0,0,0,0,0,0,0,0,5228,200
1769176957,0,0,0,0,0,0,0,0,0,5188,200
1769176967,40.21,29.44,16.82,127.0,260.9,33.6,303,6,2,3606,200
1769176976,35.21,28.72,16.72,126.9,261.0,33.6,300,9,5,179,200
1769176981,0,0,0,0,0,0,0,0,0,5200,200
1769176992,0,0,0,0,0,0,0,0,0,5199,200
1769177002,0,0,0,0,0,0,0,0,0,5216,200
1769177012,0,0,0,0,0,0,0,0,0,5216,200
1769177023,0,0,0,0,0,0,0,0,0,5312,200
1769177033,39.36,31.3,18.32,126.8,261.0,33.6,302,9,3,248,200
1769177039,38.05,31.16,18.34,127.0,260.8,33.6,298,11,3,205,200
1769177044,0,0,0,0,0,0,0,0,0,5169,200
1769177054,0,0,0,0,0,0,0,0,0,5165,200
1769177064,0,0,0,0,0,0,0,0,0,5238,200
1769177075,0,0,0,0,0,0,0,0,0,5203,200
1769177085,36.0,31.99,19.31,126.4,261.4,33.4,301,7,1,279,200
1769177091,33.68,31.58,19.25,126.4,261.4,33.4,301,6,1,1587,200
1769177097,31.22,31.1,19.16,126.1,261.6,33.4,300,7,2,617,200
1769177103,29.36,30.72,19.1,126.1,261.6,33.4,301,4,2,2214,200
1769177110,28.0,30.37,19.11,126.1,261.6,33.4,301,7,2,1817,200
1769177117,25.11,29.67,19.0,126.0,261.7,33.4,302,4,1,2833,200
1769177125,23.9,29.34,18.95,126.0,261.7,33.4,302,4,1,211,200
1769177131,22.31,28.92,18.87,126.0,261.7,33.4,302,4,1,212,200
1769177136,21.4,28.62,18.83,126.2,261.6,33.4,303,4,2,209,200
1769177141,19.77,28.16,18.73,126.2,261.6,33.4,304,4,1,212,200
1769177147,18.42,27.74,18.65,126.2,261.6,33.4,304,4,1,206,200
1769177152,17.11,27.32,18.56,126.2,261.6,33.4,304,3,1,187,200
1769177157,16.22,26.96,18.49,126.2,261.6,33.4,304,3,1,200,200
1769177163,15.0,26.53,18.4,126.2,261.6,33.4,304,3,1,204,200
1769177168,13.88,26.11,18.3,126.2,261.6,33.4,305,3,1,210,200
1769177173,12.77,25.67,18.2,126.2,261.6,33.4,305,3,1,242,200
1769177179,11.82,25.26,18.11,126.2,261.6,33.4,305,3,1,206,200
1769177184,10.96,24.86,18.02,126.2,261.6,33.4,305,3,1,208,200
1769177189,10.11,24.22,17.88,126.2,261.6,33.4,305,3,1,208,200
1769177195,11.31,24.24,17.92,126.2,261.6,33.4,305,3,1,2277,200
1769177202,10.64,23.88,17.84,126.4,261.4,33.5,306,3,2,213,200
1769177208,10.03,23.54,17.76,126.4,261.4,33.5,306,3,2,206,200
1769177213,10.51,23.41,17.75,126.4,261.4,33.5,306,1,2,2213,200
1769177220,10.18,22.92,17.65,126.4,261.4,33.5,306,3,2,220,200
1769177226,10.0,22.67,17.6,126.4,261.4,33.5,306,3,2,140,200
1769177231,9.92,22.44,17.55,126.4,261.4,33.5,307,3,1,235,200
1769177236,9.29,22.1,17.47,126.5,261.4,33.5,308,3,0,266,200
1769177242,8.62,21.75,17.38,126.5,261.4,33.5,308,3,0,201,200
1769177247,8.01,21.41,17.29,126.5,261.4,33.5,308,3,0,214,200
1769177252,7.53,21.09,17.21,126.5,261.4,33.5,308,3,0,299,200
1769177258,6.93,20.74,17.12,126.5,261.4,33.5,308,3,0,203,200
1769177263,6.37,20.39,17.02,126.5,261.4,33.5,308,3,0,209,200
1769177268,5.86,20.05,16.93,126.5,261.4,33.5,308,3,0,230,200
1769177274,5.39,19.72,16.84,126.5,261.4,33.5,308,3,0,217,200
1769177279,4.96,19.39,16.75,126.5,261.4,33.5,308,3,0,223,200
1769177285,4.75,18.87,16.61,126.5,261.4,33.5,308,2,0,208,200
1769177290,4.53,18.59,16.53,126.5,261.4,33.5,308,2,0,224,200
1769177295,4.57,18.36,16.47,126.5,261.3,33.5,309,2,0,315,200
1769177301,4.44,18.11,16.39,126.5,261.3,33.5,309,2,0,270,200
1769177306,4.09,17.81,16.31,126.5,261.3,33.5,309,2,0,214,200
1769177312,3.84,17.53,16.22,126.5,261.3,33.5,309,2,0,205,200
1769177317,3.69,17.27,16.15,126.5,261.3,33.5,309,2,0,660,200
1769177323,3.4,16.98,16.06,126.5,261.3,33.5,309,2,0,211,200
1769177328,3.12,16.7,15.97,126.5,261.3,33.5,309,2,0,207,200
1769177333,2.87,16.42,15.89,126.5,261.3,33.5,309,2,0,704,200
1769177339,2.64,16.15,15.8,126.5,261.3,33.5,309,2,0,210,200
1769177345,3.39,15.86,15.71,126.5,261.3,33.5,309,2,0,196,200
1769177350,3.84,15.75,15.68,126.5,261.3,33.5,309,2,0,574,200
1769177356,3.85,15.55,15.61,126.5,261.3,33.5,309,2,0,226,200
1769177361,3.87,15.36,15.55,126.5,261.3,33.5,309,2,0,231,200
1769177366,3.96,15.19,15.49,126.5,261.3,33.5,309,2,0,613,200
1769177372,3.96,15.0,15.43,126.5,261.3,33.5,309,2,0,148,200
1769177377,3.72,14.77,15.35,126.5,261.3,33.5,309,2,0,211,200
1769177383,3.43,14.53,15.27,126.5,261.3,33.5,309,2,0,764,200
1769177389,3.15,14.28,15.19,126.5,261.3,33.5,309,2,0,209,200
1769177394,2.9,14.05,15.11,126.5,261.3,33.5,309,2,0,208,200
1769177399,3.09,13.72,14.99,126.5,261.3,33.5,309,2,0,674,200
1769177405,2.92,13.51,14.91,126.5,261.3,33.5,309,2,0,199,200
1769177411,2.69,13.28,14.83,126.5,261.3,33.5,309,2,0,205,200
1769177416,2.55,13.08,14.76,126.5,261.3,33.5,309,2,0,667,200
1769177422,2.51,12.89,14.69,126.5,261.3,33.5,309,2,0,220,200
1769177427,2.31,12.68,14.61,126.5,261.3,33.5,309,2,0,212,200
1769177432,2.2,12.48,14.54,126.5,261.3,33.5,309,2,0,743,200
1769177438,2.1,12.29,14.46,126.5,261.3,33.5,309,2,0,199,200
1769177444,1.93,12.09,14.39,126.5,261.3,33.5,309,2,0,245,200
1769177449,1.78,11.89,14.31,126.5,261.3,33.5,309,2,0,631,200
1769177455,1.81,11.56,14.18,126.5,261.3,33.5,309,2,0,203,200
1769177460,1.66,11.37,14.1,126.5,261.3,33.5,309,2,0,207,200
1769177465,1.53,11.18,14.02,126.5,261.3,33.5,309,2,0,722,200
1769177471,1.41,10.99,13.95,126.5,261.3,33.5,309,2,0,197,200
1769177477,1.37,10.83,13.88,126.5,261.3,33.5,309,2,0,221,200
1769177482,1.34,10.66,13.81,126.5,261.3,33.5,309,2,0,731,200
1769177488,1.24,10.49,13.73,126.5,261.3,33.5,309,2,0,215,200
1769177493,1.14,10.31,13.66,126.5,261.3,33.5,309,2,0,209,200
1769177499,1.05,10.14,13.59,126.5,261.3,33.5,309,2,0,759,200
1769177504,1.03,9.84,13.45,126.5,261.3,33.5,309,2,0,204,200
1769177510,1.03,9.69,13.38,126.5,261.3,33.5,309,2,0,221,200
1769177515,1.03,9.55,13.32,126.5,261.3,33.5,309,2,0,798,200
1769177521,0.94,9.39,13.25,126.5,261.3,33.5,309,2,0,212,200
1769177527,0.87,9.23,13.17,126.5,261.3,33.5,309,2,0,206,200
1769177532,0.8,9.08,13.1,126.5,261.3,33.5,309,2,0,791,200
1769177538,0.73,8.93,13.03,126.5,261.3,33.5,309,2,0,199,200
1769177543,0.68,8.78,12.96,126.5,261.3,33.5,309,2,0,240,200
1769177549,0.7,8.65,12.9,126.5,261.3,33.5,309,2,0,680,200
1769177554,0.64,8.51,12.83,126.5,261.3,33.5,309,2,0,210,200
1769177560,0.55,8.23,12.69,126.5,261.3,33.5,309,2,0,239,200
1769177565,0.58,8.11,12.63,126.5,261.3,33.5,309,2,0,678,200
1769177571,0.54,7.97,12.56,126.5,261.3,33.5,309,2,0,206,200
1769177576,0.57,7.85,12.5,126.5,261.3,33.5,309,2,0,204,200
1769177582,0.53,7.72,12.43,126.5,261.3,33.5,309,2,0,672,200
1769177587,0.72,7.65,12.38,126.5,261.3,33.5,309,2,0,144,200
1769177593,0.67,7.52,12.31,126.5,261.3,33.5,309,2,0,207,200
1769177598,0.61,7.39,12.25,126.5,261.3,33.5,309,2,0,840,200
1769177604,0.56,7.27,12.18,126.5,261.3,33.5,309,2,0,232,200
1769177609,0.52,7.15,12.11,126.5,261.3,33.5,309,2,0,204,200
1769177615,0.6,6.95,12.0,126.5,261.3,33.5,309,2,0,831,200
1769177621,0.55,6.83,11.93,126.5,261.3,33.5,309,2,0,207,200
1769177626,0.59,6.73,11.87,126.5,261.3,33.5,309,2,0,204,200
1769177631,0.78,6.67,11.82,126.5,261.3,33.5,309,2,0,673,200
1769177637,0.72,6.56,11.76,126.5,261.3,33.5,309,2,0,240,200
1769177643,0.66,6.45,11.7,126.5,261.3,33.5,309,2,0,212,200
1769177648,0.61,6.34,11.63,126.5,261.3,33.5,309,2,0,705,200
1769177654,0.8,6.29,11.59,126.5,261.3,33.5,309,2,0,214,200
1769177659,0.73,6.18,11.52,126.5,261.3,33.5,309,2,0,205,200
1769177664,0.78,6.01,11.41,126.5,261.3,33.5,309,2,0,706,200
1769177670,0.71,5.91,11.35,126.5,261.3,33.5,309,2,0,191,200
