timestamp,load1,load5,load15,mem_used_gb,mem_avail_gb,mem_pct,available,allocated,spawning,latency_ms,http_code
1769181212,43.54,43.66,33.25,125.9,261.1,33.3,290,9,5,1131,200
1769181218,41.26,43.19,33.15,125.5,261.5,33.2,294,10,3,175,200
1769181224,38.88,42.6,33.07,125.6,261.4,33.2,293,7,5,4143,200
1769181233,0,0,0,0,0,0,0,0,0,5152,200
1769181244,34.57,41.48,32.86,125.8,261.2,33.3,297,10,1,423,200
1769181250,30.68,40.42,32.6,125.5,261.5,33.2,298,8,1,1776,200
1769181257,32.06,40.55,32.69,125.4,261.5,33.2,290,11,9,223,200
1769181262,32.14,40.42,32.69,125.3,261.6,33.2,287,9,11,179,200
1769181268,39.58,41.83,33.19,124.9,261.9,33.1,287,8,12,193,200
1769181273,39.77,41.83,33.23,125.3,261.6,33.2,287,9,11,379,200
1769181279,0,0,0,0,0,0,0,0,0,5200,200
1769181290,0,0,0,0,0,0,0,0,0,5503,200
1769181300,43.4,42.58,33.76,125.9,261.1,33.3,286,8,11,3626,200
1769181309,40.48,41.97,33.66,125.5,261.4,33.2,292,8,6,4168,200
1769181319,0,0,0,0,0,0,0,0,0,5207,200
1769181329,0,0,0,0,0,0,0,0,0,5204,200
1769181340,0,0,0,0,0,0,0,0,0,5203,200
1769181350,47.46,43.72,34.6,126.4,260.5,33.5,294,7,9,3632,200
1769181359,45.18,43.3,34.52,125.9,261.0,33.3,298,10,3,232,200
1769181365,0,0,0,0,0,0,0,0,0,5232,200
1769181375,36.63,41.5,34.11,125.8,261.2,33.3,299,7,2,481,200
1769181381,34.34,40.94,33.97,125.8,261.1,33.3,300,6,1,180,200
1769181387,32.15,40.38,33.82,125.4,261.5,33.2,298,6,3,214,200
1769181392,0,0,0,0,0,0,0,0,0,5292,200
1769181403,0,0,0,0,0,0,0,0,0,5203,200
1769181414,0,0,0,0,0,0,0,0,0,5205,200
1769181424,0,0,0,0,0,0,0,0,0,5158,200
1769181435,0,0,0,0,0,0,0,0,0,5207,200
1769181445,44.27,42.79,35.09,125.7,261.2,33.3,297,6,3,2129,200
1769181453,42.33,42.41,35.01,125.3,261.6,33.2,299,6,3,195,200
1769181458,42.3,42.41,35.05,125.4,261.5,33.2,296,8,6,178,200
1769181464,0,0,0,0,0,0,0,0,0,5212,200
1769181474,40.43,42.01,35.03,125.6,261.3,33.3,292,9,11,194,200
1769181480,0,0,0,0,0,0,0,0,0,5380,200
1769181491,0,0,0,0,0,0,0,0,0,5183,200
1769181501,37.11,41.29,35.07,125.7,261.2,33.3,298,7,3,4522,200
1769181511,36.14,41.02,35.01,125.7,261.3,33.3,294,6,8,166,200
1769181516,0,0,0,0,0,0,0,0,0,5197,200
1769181527,0,0,0,0,0,0,0,0,0,5184,200
1769181537,37.0,40.86,35.12,125.8,261.1,33.3,293,6,9,165,200
1769181543,37.24,40.84,35.15,125.7,261.2,33.3,294,6,12,209,200
1769181549,36.3,40.53,35.11,126.2,260.8,33.4,298,6,8,3100,200
1769181557,34.84,40.16,35.02,126.2,260.7,33.4,301,6,5,211,200
1769181563,35.01,40.11,35.03,126.6,260.4,33.5,302,6,4,195,200
1769181568,32.29,39.46,34.84,126.4,260.6,33.5,306,6,0,205,200
1769181574,30.18,38.9,34.69,126.2,260.7,33.4,304,6,2,418,200
1769181579,30.01,38.72,34.65,125.9,261.0,33.3,297,9,7,222,200
1769181585,0,0,0,0,0,0,0,0,0,5241,200
1769181596,30.25,38.2,34.57,126.2,260.7,33.4,296,9,7,2766,200
