timestamp,load1,load5,load15,mem_used_gb,mem_avail_gb,mem_pct,available,allocated,spawning,latency_ms,http_code
1769183009,1.24,1.91,11.54,127.2,260.1,33.7,309,2,3,638,200
1769183015,1.46,1.95,11.5,127.2,260.1,33.7,309,2,3,179,200
1769183021,2.07,2.06,11.44,127.4,259.9,33.7,310,3,1,205,200
1769183026,2.86,2.23,11.44,127.0,260.2,33.6,305,3,5,686,200
1769183032,0,0,0,0,0,0,0,0,0,5208,200
1769183043,0,0,0,0,0,0,0,0,0,5436,200
1769183054,15.06,5.14,12.16,127.3,259.9,33.7,307,3,4,562,200
1769183060,17.7,6.04,12.38,126.9,260.3,33.6,303,5,6,1828,200
1769183067,18.6,6.42,12.47,126.4,260.8,33.5,299,5,9,211,200
1769183072,0,0,0,0,0,0,0,0,0,5208,200
1769183083,0,0,0,0,0,0,0,0,0,5183,200
1769183093,0,0,0,0,0,0,0,0,0,5208,200
1769183104,26.75,10.36,13.56,126.9,260.3,33.6,306,5,2,2358,200
1769183112,0,0,0,0,0,0,0,0,0,5195,200
1769183122,23.86,10.52,13.56,127.2,260.0,33.7,305,5,3,154,200
1769183128,23.15,10.6,13.57,127.0,260.2,33.6,307,4,2,3895,200
1769183137,0,0,0,0,0,0,0,0,0,5299,200
1769183147,0,0,0,0,0,0,0,0,0,5243,200
1769183158,24.37,12.22,14.0,126.6,260.6,33.5,300,5,5,2985,200
1769183166,22.9,12.12,13.95,126.5,260.6,33.5,304,5,1,3019,200
1769183175,21.95,12.1,13.94,126.2,260.9,33.4,297,9,8,200,200
1769183180,24.19,12.73,14.13,126.8,260.3,33.6,293,6,11,2206,200
1769183188,0,0,0,0,0,0,0,0,0,6410,200
1769183200,0,0,0,0,0,0,0,0,0,5223,200
1769183210,36.46,17.29,15.62,127.0,260.0,33.6,301,5,4,1549,200
1769183218,35.14,17.34,15.64,126.3,260.8,33.4,301,5,5,423,200
1769183223,37.21,18.06,15.89,126.2,260.9,33.4,293,9,12,196,200
1769183229,0,0,0,0,0,0,0,0,0,5209,200
1769183239,47.89,21.35,17.0,126.2,260.8,33.4,278,14,14,226,200
1769183245,48.78,21.97,17.22,125.6,261.4,33.2,279,12,14,152,200
1769183250,51.54,23.44,17.75,125.0,261.9,33.1,280,5,13,3512,200
1769183259,0,0,0,0,0,0,0,0,0,5222,200
1769183270,0,0,0,0,0,0,0,0,0,5176,200
