timestamp,pool_id,load1,load5,load15,available,total,status
1769296675,ai-foxhop-net,1.61,0.82,0.58,66,67,healthy
1769296675,cammy-foxhop-net,2.05,1.2,1.01,295,296,healthy
1769296680,ai-foxhop-net,3.01,1.12,0.68,61,67,healthy
1769296680,cammy-foxhop-net,3.81,1.58,1.14,292,296,healthy
1769296686,ai-foxhop-net,4.45,1.45,0.79,66,68,healthy
1769296686,cammy-foxhop-net,4.79,1.82,1.22,290,297,healthy
1769296692,ai-foxhop-net,4.57,1.53,0.81,66,68,healthy
1769296692,cammy-foxhop-net,6.49,2.22,1.35,285,298,healthy
1769296698,ai-foxhop-net,5.25,1.72,0.88,61,66,healthy
1769296698,cammy-foxhop-net,9.89,3.0,1.61,282,301,healthy
1769296703,ai-foxhop-net,5.25,1.72,0.88,61,66,healthy
1769296703,cammy-foxhop-net,11.34,3.41,1.75,279,300,healthy
1769296709,ai-foxhop-net,null,null,null,0,0,unhealthy
1769296709,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296716,ai-foxhop-net,null,null,null,0,0,unhealthy
1769296716,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296721,ai-foxhop-net,4.2,1.77,0.92,63,64,healthy
1769296721,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296727,ai-foxhop-net,4.66,1.9,0.97,63,64,healthy
1769296727,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296733,ai-foxhop-net,4.29,1.87,0.96,63,64,healthy
1769296733,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296738,ai-foxhop-net,4.02,1.86,0.96,62,64,healthy
1769296738,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296744,ai-foxhop-net,4.02,1.86,0.96,62,64,healthy
1769296744,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296749,ai-foxhop-net,4.51,2.03,1.03,61,64,healthy
1769296749,cammy-foxhop-net,20.68,7.37,3.19,291,296,healthy
1769296755,ai-foxhop-net,10.41,3.36,1.47,49,63,healthy
1769296755,cammy-foxhop-net,21.87,8.05,3.45,286,293,healthy
1769296760,ai-foxhop-net,10.41,3.36,1.47,49,63,healthy
1769296760,cammy-foxhop-net,21.87,8.05,3.45,286,293,healthy
1769296766,ai-foxhop-net,9.89,3.37,1.49,52,59,healthy
1769296766,cammy-foxhop-net,22.52,8.41,3.6,284,294,healthy
1769296771,ai-foxhop-net,null,null,null,0,0,unhealthy
1769296771,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296777,ai-foxhop-net,8.52,3.3,1.48,52,58,healthy
1769296777,cammy-foxhop-net,25.12,9.67,4.09,286,293,healthy
1769296782,ai-foxhop-net,8.13,3.38,1.53,34,49,healthy
1769296782,cammy-foxhop-net,23.59,9.61,4.1,290,293,healthy
1769296788,ai-foxhop-net,7.47,3.33,1.52,21,35,healthy
1769296788,cammy-foxhop-net,29.79,11.13,4.62,270,297,healthy
1769296793,ai-foxhop-net,6.88,3.27,1.51,19,34,healthy
1769296793,cammy-foxhop-net,29.79,11.13,4.62,270,297,healthy
1769296799,ai-foxhop-net,6.33,3.22,1.51,19,33,healthy
1769296799,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296804,ai-foxhop-net,5.82,3.16,1.5,19,33,healthy
1769296804,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296810,ai-foxhop-net,5.51,3.14,1.5,17,33,healthy
1769296810,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296815,ai-foxhop-net,5.07,3.09,1.49,16,33,healthy
1769296815,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296821,ai-foxhop-net,4.66,3.04,1.48,14,33,healthy
1769296821,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296826,ai-foxhop-net,4.29,2.99,1.47,13,33,healthy
1769296826,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296832,ai-foxhop-net,3.71,2.91,1.46,10,33,healthy
1769296832,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296838,ai-foxhop-net,3.57,2.89,1.47,8,33,healthy
1769296838,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296843,ai-foxhop-net,3.45,2.88,1.47,7,33,healthy
1769296843,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296849,ai-foxhop-net,3.33,2.86,1.47,5,33,healthy
1769296849,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296854,ai-foxhop-net,3.06,2.81,1.46,4,33,healthy
1769296854,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296860,ai-foxhop-net,2.82,2.77,1.46,2,33,healthy
1769296860,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296865,ai-foxhop-net,3.07,2.82,1.48,1,33,healthy
1769296865,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296871,ai-foxhop-net,2.83,2.77,1.47,1,33,healthy
1769296871,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296876,ai-foxhop-net,2.39,2.68,1.46,1,33,healthy
1769296876,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769296882,ai-foxhop-net,2.2,2.64,1.45,1,33,healthy
1769296882,cammy-foxhop-net,18.2,14.19,6.48,279,294,healthy
1769296887,ai-foxhop-net,2.02,2.59,1.44,1,33,healthy
1769296887,cammy-foxhop-net,19.31,14.49,6.62,279,294,healthy
1769296893,ai-foxhop-net,1.94,2.57,1.44,1,33,healthy
1769296893,cammy-foxhop-net,20.88,14.9,6.79,278,295,healthy
1769296898,ai-foxhop-net,1.79,2.52,1.43,1,33,healthy
