timestamp,pool_id,load1,load5,load15,available,total,status
1769878322,cammy-foxhop-net,0.99,0.84,0.84,289,290,healthy
1769878322,ai-foxhop-net,0.83,0.71,0.69,65,65,healthy
1769878328,cammy-foxhop-net,1.56,0.96,0.88,287,290,healthy
1769878328,ai-foxhop-net,0.99,0.75,0.7,65,65,healthy
1769878334,cammy-foxhop-net,2.95,1.26,0.98,289,290,healthy
1769878334,ai-foxhop-net,0.91,0.74,0.7,65,65,healthy
1769878341,cammy-foxhop-net,2.72,1.24,0.97,289,290,healthy
1769878341,ai-foxhop-net,0.84,0.72,0.69,65,65,healthy
1769878347,cammy-foxhop-net,2.5,1.22,0.97,289,290,healthy
1769878347,ai-foxhop-net,0.77,0.71,0.69,65,65,healthy
1769878353,cammy-foxhop-net,4.04,1.58,1.09,284,291,healthy
1769878353,ai-foxhop-net,2.11,1.0,0.78,64,66,healthy
1769878359,cammy-foxhop-net,6.68,2.16,1.28,287,291,healthy
1769878359,ai-foxhop-net,2.1,1.02,0.79,63,65,healthy
1769878364,cammy-foxhop-net,7.58,2.43,1.37,286,292,healthy
1769878364,ai-foxhop-net,2.41,1.1,0.82,64,64,healthy
1769878370,cammy-foxhop-net,9.22,2.85,1.51,288,290,healthy
1769878370,ai-foxhop-net,2.38,1.12,0.82,63,64,healthy
1769878377,cammy-foxhop-net,9.92,3.1,1.6,289,290,healthy
1769878377,ai-foxhop-net,2.43,1.15,0.84,63,65,healthy
1769878383,cammy-foxhop-net,10.22,3.38,1.71,284,292,healthy
1769878383,ai-foxhop-net,2.35,1.17,0.85,63,65,healthy
1769878389,cammy-foxhop-net,10.22,3.38,1.71,284,292,healthy
1769878389,ai-foxhop-net,3.53,1.44,0.94,65,65,healthy
1769878395,cammy-foxhop-net,14.97,4.62,2.13,283,293,healthy
1769878395,ai-foxhop-net,3.96,1.56,0.98,65,65,healthy
1769878401,cammy-foxhop-net,21.06,6.06,2.61,279,294,healthy
1769878401,ai-foxhop-net,3.97,1.6,1.0,62,66,healthy
1769878407,cammy-foxhop-net,21.85,6.47,2.76,277,293,healthy
1769878407,ai-foxhop-net,5.09,1.88,1.09,63,64,healthy
1769878413,cammy-foxhop-net,27.47,7.89,3.24,273,294,healthy
1769878413,ai-foxhop-net,6.2,2.16,1.18,60,63,healthy
1769878418,cammy-foxhop-net,33.35,9.79,3.91,270,293,healthy
1769878418,ai-foxhop-net,7.59,2.59,1.33,61,63,healthy
1769878424,cammy-foxhop-net,35.88,10.71,4.24,270,288,healthy
1769878424,ai-foxhop-net,9.3,3.03,1.48,61,64,healthy
1769878430,cammy-foxhop-net,42.06,12.41,4.82,267,286,healthy
1769878430,ai-foxhop-net,8.8,3.02,1.49,62,64,healthy
1769878435,cammy-foxhop-net,44.3,13.36,5.17,269,287,healthy
1769878435,ai-foxhop-net,10.02,3.37,1.61,63,63,healthy
1769878441,cammy-foxhop-net,45.47,14.12,5.46,265,285,healthy
1769878441,ai-foxhop-net,9.7,3.42,1.63,63,63,healthy
1769878447,cammy-foxhop-net,46.48,14.85,5.74,267,285,healthy
1769878447,ai-foxhop-net,9.64,3.51,1.67,64,64,healthy
1769878453,cammy-foxhop-net,47.08,15.5,6.0,267,284,healthy
1769878453,ai-foxhop-net,9.51,3.58,1.71,61,64,healthy
1769878458,cammy-foxhop-net,47.62,16.67,6.48,272,288,healthy
1769878458,ai-foxhop-net,11.34,4.17,1.92,63,64,healthy
1769878464,cammy-foxhop-net,46.77,17.0,6.65,276,287,healthy
1769878464,ai-foxhop-net,11.63,4.35,1.99,63,64,healthy
1769878470,cammy-foxhop-net,51.75,18.53,7.2,276,289,healthy
1769878470,ai-foxhop-net,10.86,4.32,1.99,64,64,healthy
1769878476,cammy-foxhop-net,50.81,18.89,7.37,282,288,healthy
1769878476,ai-foxhop-net,10.95,4.44,2.05,63,64,healthy
1769878481,cammy-foxhop-net,49.94,19.24,7.55,281,288,healthy
1769878481,ai-foxhop-net,10.15,4.39,2.04,63,64,healthy
1769878487,cammy-foxhop-net,48.83,19.52,7.7,281,290,healthy
1769878487,ai-foxhop-net,10.7,4.6,2.12,63,64,healthy
1769878493,cammy-foxhop-net,45.01,19.66,7.88,287,290,healthy
1769878493,ai-foxhop-net,10.31,4.71,2.18,62,65,healthy
1769878499,cammy-foxhop-net,42.21,19.5,7.89,287,291,healthy
1769878499,ai-foxhop-net,10.05,4.75,2.21,64,64,healthy
1769878505,cammy-foxhop-net,39.55,19.33,7.89,286,291,healthy
1769878505,ai-foxhop-net,9.32,4.68,2.2,62,64,healthy
1769878511,cammy-foxhop-net,39.9,19.74,8.09,283,291,healthy
1769878511,ai-foxhop-net,9.62,4.82,2.26,64,64,healthy
1769878517,cammy-foxhop-net,40.15,20.12,8.28,286,290,healthy
1769878517,ai-foxhop-net,8.51,4.75,2.26,63,65,healthy
1769878522,cammy-foxhop-net,38.3,20.07,8.32,286,290,healthy
1769878522,ai-foxhop-net,8.51,4.75,2.26,60,64,healthy
1769878528,cammy-foxhop-net,37.23,20.15,8.41,278,295,healthy
1769878528,ai-foxhop-net,11.43,5.41,2.49,63,63,healthy
1769878533,cammy-foxhop-net,39.15,21.12,8.85,277,292,healthy
1769878533,ai-foxhop-net,14.21,6.22,2.79,62,63,healthy
1769878539,cammy-foxhop-net,43.55,22.33,9.31,272,293,healthy
1769878539,ai-foxhop-net,15.48,6.62,2.94,63,63,healthy
1769878545,cammy-foxhop-net,45.43,23.07,9.62,265,290,healthy
1769878545,ai-foxhop-net,14.8,6.62,2.96,63,63,healthy
1769878551,cammy-foxhop-net,47.31,23.84,9.94,263,288,healthy
1769878551,ai-foxhop-net,14.57,6.71,3.01,59,65,healthy
1769878556,cammy-foxhop-net,50.57,24.9,10.36,259,287,healthy
1769878556,ai-foxhop-net,15.49,7.03,3.13,62,63,healthy
1769878562,cammy-foxhop-net,63.27,28.42,11.66,258,287,healthy
1769878562,ai-foxhop-net,15.53,7.18,3.2,63,63,healthy
1769878568,cammy-foxhop-net,null,null,null,0,0,unhealthy
1769878568,ai-foxhop-net,14.1,7.14,3.23,63,63,healthy
1769878574,cammy-foxhop-net,59.05,28.68,11.93,265,282,healthy
1769878574,ai-foxhop-net,13.05,7.04,3.22,63,63,healthy
1769878580,cammy-foxhop-net,58.01,28.97,12.11,262,282,healthy
1769878580,ai-foxhop-net,12.09,6.94,3.2,53,64,healthy
1769878586,cammy-foxhop-net,55.12,28.86,12.16,267,281,healthy
1769878586,ai-foxhop-net,12.09,6.94,3.2,53,64,healthy
1769878592,cammy-foxhop-net,56.25,29.99,12.71,273,287,healthy
1769878592,ai-foxhop-net,null,null,null,0,0,unhealthy
1769878599,cammy-foxhop-net,55.59,30.29,12.9,282,287,healthy
1769878599,ai-foxhop-net,13.39,7.74,3.58,60,66,healthy
1769878605,cammy-foxhop-net,65.79,32.83,13.82,263,292,healthy
1769878605,ai-foxhop-net,13.39,7.74,3.58,63,64,healthy
1769878611,cammy-foxhop-net,67.17,33.66,14.19,258,288,healthy
1769878611,ai-foxhop-net,12.4,7.63,3.56,63,64,healthy
1769878617,cammy-foxhop-net,69.88,34.78,14.66,254,279,healthy
1769878617,ai-foxhop-net,11.48,7.52,3.55,63,64,healthy
1769878623,cammy-foxhop-net,71.89,35.78,15.09,252,277,healthy
1769878623,ai-foxhop-net,10.64,7.41,3.53,61,64,healthy
1769878628,cammy-foxhop-net,71.65,36.92,15.68,258,277,healthy
1769878628,ai-foxhop-net,11.96,7.8,3.7,59,61,healthy
1769878634,cammy-foxhop-net,71.44,37.45,15.97,257,276,healthy
1769878634,ai-foxhop-net,11.96,7.87,3.74,60,61,healthy
1769878640,cammy-foxhop-net,70.12,37.74,16.18,264,278,healthy
1769878640,ai-foxhop-net,12.29,8.0,3.81,63,65,healthy
1769878645,cammy-foxhop-net,68.43,37.93,16.35,264,282,healthy
1769878645,ai-foxhop-net,11.46,7.9,3.8,62,65,healthy
1769878651,cammy-foxhop-net,66.39,38.02,16.5,266,284,healthy
1769878651,ai-foxhop-net,11.35,7.94,3.83,63,64,healthy
1769878657,cammy-foxhop-net,65.0,38.2,16.67,273,290,healthy
1769878657,ai-foxhop-net,11.16,7.95,3.86,62,63,healthy
1769878663,cammy-foxhop-net,63.07,38.67,17.06,283,290,healthy
1769878663,ai-foxhop-net,10.3,7.87,3.88,61,63,healthy
1769878669,cammy-foxhop-net,62.5,38.96,17.27,283,290,healthy
1769878669,ai-foxhop-net,10.11,7.87,3.9,62,64,healthy
1769878675,cammy-foxhop-net,62.14,39.27,17.49,283,293,healthy
1769878675,ai-foxhop-net,10.02,7.89,3.93,62,64,healthy
1769878680,cammy-foxhop-net,62.37,39.7,17.74,283,292,healthy
1769878680,ai-foxhop-net,10.98,8.13,4.03,57,66,healthy
1769878686,cammy-foxhop-net,58.42,39.26,17.72,283,292,healthy
1769878686,ai-foxhop-net,13.55,8.71,4.24,54,65,healthy
1769878692,cammy-foxhop-net,56.22,39.12,17.79,282,294,healthy
1769878692,ai-foxhop-net,15.11,9.11,4.39,58,62,healthy
1769878698,cammy-foxhop-net,57.0,39.57,18.05,278,293,healthy
1769878698,ai-foxhop-net,15.74,9.34,4.49,56,64,healthy
1769878703,cammy-foxhop-net,56.85,40.11,18.45,273,292,healthy
1769878703,ai-foxhop-net,19.32,10.32,4.86,58,66,healthy
1769878709,cammy-foxhop-net,60.14,41.07,18.88,268,290,healthy
1769878709,ai-foxhop-net,20.66,10.75,5.03,59,65,healthy
1769878715,cammy-foxhop-net,60.53,41.47,19.13,267,291,healthy
1769878715,ai-foxhop-net,21.25,11.03,5.15,60,63,healthy
1769878720,cammy-foxhop-net,63.61,42.42,19.56,260,287,healthy
1769878720,ai-foxhop-net,19.54,10.85,5.12,59,62,healthy
1769878726,cammy-foxhop-net,66.45,43.36,19.99,259,285,healthy
1769878726,ai-foxhop-net,19.18,10.92,5.18,59,64,healthy
1769878732,cammy-foxhop-net,66.17,43.69,20.22,256,277,healthy
1769878732,ai-foxhop-net,18.68,10.95,5.22,55,67,healthy
1769878737,cammy-foxhop-net,64.48,43.71,20.35,254,276,healthy
1769878737,ai-foxhop-net,19.59,11.27,5.35,56,63,healthy
1769878743,cammy-foxhop-net,64.5,44.4,20.82,249,274,healthy
1769878743,ai-foxhop-net,23.59,12.38,5.78,57,62,healthy
1769878749,cammy-foxhop-net,63.57,44.54,21.0,249,271,healthy
1769878749,ai-foxhop-net,23.14,12.48,5.85,55,62,healthy
1769878755,cammy-foxhop-net,65.13,45.18,21.33,248,269,healthy
1769878755,ai-foxhop-net,24.49,12.93,6.03,56,64,healthy
1769878760,cammy-foxhop-net,69.2,46.35,21.84,249,267,healthy
1769878760,ai-foxhop-net,23.65,12.95,6.07,57,64,healthy
1769878766,cammy-foxhop-net,70.07,46.91,22.15,250,270,healthy
1769878766,ai-foxhop-net,25.84,13.58,6.31,60,67,healthy
1769878772,cammy-foxhop-net,70.06,47.3,22.41,247,268,healthy
1769878772,ai-foxhop-net,24.73,13.56,6.34,60,65,healthy
1769878778,cammy-foxhop-net,69.5,47.56,22.63,249,272,healthy
